,method,workers,N,delay,pi,delay_per_point
1095,multiprocessing,29,55600000,0.9406988620758057,3.0608264958603026,1.691904428193895e-08
1096,threading,30,55600000,40.48529529571533,3.060666464727117,7.281527930884053e-07
1097,multiprocessing,30,55600000,0.9142897129058838,3.060950641810243,1.6444059584638198e-08
1098,threading,1,66700000,13.06246304512024,3.0609544449001587,1.9583902616372173e-07
1099,multiprocessing,1,66700000,13.081172466278076,3.0606894537194616,1.9611952723055587e-07
1100,sequential,1,66700000,13.055662870407104,3.060682611845233,1.9573707451884715e-07
1101,threading,2,66700000,48.94154953956604,3.060736962376663,7.33756364911035e-07
1102,multiprocessing,2,66700000,6.762414216995239,3.060803075969315,1.0138552049468124e-07
1103,threading,3,66700000,47.962141275405884,3.0606738663610464,7.190725828396684e-07
1104,multiprocessing,3,66700000,4.699313640594482,3.0609414700476973,7.045447737023212e-08
1105,threading,4,66700000,48.52579379081726,3.060968311740091,7.275231452896141e-07
1106,multiprocessing,4,66700000,3.576986312866211,3.060777122161074,5.3627980702641844e-08
1107,threading,5,66700000,48.75761342048645,3.060735086053805,7.309987019563186e-07
1108,multiprocessing,5,66700000,2.891824245452881,3.0607201858052235,4.3355685838873773e-08
1109,threading,6,66700000,48.606077909469604,3.060860490537359,7.287268052394244e-07
1110,multiprocessing,6,66700000,2.4264285564422607,3.0609093024639,3.6378239227020404e-08
1111,threading,7,66700000,48.780439376831055,3.0606448987505535,7.313409201923696e-07
1112,multiprocessing,7,66700000,2.1051740646362305,3.060854138086109,3.15618300545162e-08
1113,threading,8,66700000,48.81292533874512,3.0607867800652087,7.318279660981276e-07
1114,multiprocessing,8,66700000,1.8332700729370117,3.0609875768614256,2.7485308439835258e-08
1115,threading,9,66700000,48.95145511627197,3.0605573650776297,7.339048743069262e-07
1116,multiprocessing,9,66700000,1.628296136856079,3.060770968542341,2.441223593487375e-08
1117,threading,10,66700000,48.653531551361084,3.0605800510213967,7.294382541433446e-07
1118,multiprocessing,10,66700000,1.4886209964752197,3.060981035035214,2.23181558691937e-08
1119,threading,11,66700000,48.42428946495056,3.060929416628303,7.260013413036066e-07
1120,multiprocessing,11,66700000,1.36702299118042,3.060638804767171,2.0495097319046775e-08
1121,threading,12,66700000,48.87022542953491,3.0607604553056014,7.326870379240617e-07
1122,multiprocessing,12,66700000,1.276465654373169,3.0607420770875065,1.913741610754376e-08
1123,threading,13,66700000,48.603530168533325,3.0606999347089445,7.286886082238879e-07
1124,multiprocessing,13,66700000,1.2062468528747559,3.0608968690856706,1.8084660462889894e-08
1125,threading,14,66700000,49.05017709732056,3.060807733156818,7.353849639778195e-07
1126,multiprocessing,14,66700000,1.1344306468963623,3.0606667781982035,1.7007955725582645e-08
1127,threading,15,66700000,48.90493583679199,3.0608151078899395,7.332074338349624e-07
1128,multiprocessing,15,66700000,1.0695021152496338,3.060868870579019,1.6034514471508753e-08
1129,threading,16,66700000,48.62223505973816,3.0607662442508676,7.289690413753847e-07
1130,multiprocessing,16,66700000,1.004857063293457,3.0610112657949613,1.5065323287757977e-08
1131,threading,17,66700000,48.973827838897705,3.060632332029813,7.342402974347482e-07
1132,multiprocessing,17,66700000,0.973942756652832,3.060848718327972,1.4601840429577692e-08
1133,threading,18,66700000,48.52710700035095,3.060585762802006,7.275428335884701e-07
1134,multiprocessing,18,66700000,0.9458024501800537,3.060704889659742,1.417994677931115e-08
1135,threading,19,66700000,48.67447233200073,3.060881391760843,7.297522088755732e-07
1136,multiprocessing,19,66700000,1.1143968105316162,3.060975188021548,1.6707598358794846e-08
1137,threading,20,66700000,48.643699169158936,3.0607943980046004,7.292908421163259e-07
1138,multiprocessing,20,66700000,1.2863516807556152,3.0608152234093478,1.928563239513666e-08
1139,threading,21,66700000,48.9559371471405,3.060605934803224,7.339720711715217e-07
1140,multiprocessing,21,66700000,1.3071753978729248,3.060596456664659,1.9597832052067837e-08
1141,threading,22,66700000,49.08381724357605,3.0609686609465374,7.358893139966425e-07
1142,multiprocessing,22,66700000,1.2601606845855713,3.060916639568687,1.8892963786890125e-08
1143,threading,23,66700000,48.98985576629639,3.060813043674183,7.344805961963477e-07
1144,multiprocessing,23,66700000,1.3460209369659424,3.060978214772201,2.0180223942517877e-08
1145,threading,24,66700000,48.83663296699524,3.060969210372804,7.321834028035268e-07
1146,multiprocessing,24,66700000,1.3148674964904785,3.060855109261381,1.9713155869422466e-08
1147,threading,25,66700000,48.97364544868469,3.0608899907556886,7.34237562948796e-07
1148,multiprocessing,25,66700000,1.2478735446929932,3.060791013756239,1.8708748795996897e-08
1149,threading,26,66700000,48.49285864830017,3.0607387252771234,7.270293650419816e-07
1150,multiprocessing,26,66700000,1.2061150074005127,3.0609216671802866,1.808268376912313e-08
1151,threading,27,66700000,48.44218158721924,3.0608180375923646,7.262695890137817e-07
1152,multiprocessing,27,66700000,1.1666607856750488,3.0608257940077683,1.749116620202472e-08
1153,threading,28,66700000,48.779348373413086,3.0610041630040183,7.313245633195366e-07
1154,multiprocessing,28,66700000,1.1344544887542725,3.0609678983547437,1.7008313174726724e-08
1155,threading,29,66700000,48.617552280426025,3.0607714296624415,7.288988347889959e-07
1156,multiprocessing,29,66700000,1.1092751026153564,3.0608884183081915,1.6630811133663514e-08
1157,threading,30,66700000,49.014041900634766,3.0607814736347665,7.348432069060685e-07
1158,multiprocessing,30,66700000,1.0908334255218506,3.060841281864385,1.63543242207174e-08
1159,threading,1,66700000,13.129426956176758,3.0606116676178794,1.9684298285122576e-07
1160,multiprocessing,1,66700000,13.114322423934937,3.0607729365470266,1.9661652809497656e-07
1161,sequential,1,66700000,13.063632249832153,3.0606891370184552,1.9585655546974743e-07
1162,threading,2,66700000,49.0482816696167,3.06070583579591,7.353565467708651e-07
1163,multiprocessing,2,66700000,6.735541582107544,3.060830552497454,1.0098263241540546e-07
1164,threading,3,66700000,48.54002356529236,3.0609064969950435,7.27736485236767e-07
1165,multiprocessing,3,66700000,4.689518213272095,3.0607255322744242,7.030761938938673e-08
1166,threading,4,66700000,49.00109338760376,3.0606864654921058,7.346490762759184e-07
1167,multiprocessing,4,66700000,3.5813300609588623,3.060655647385711,5.369310436220183e-08
1168,threading,5,66700000,48.282407999038696,3.0609093310561835,7.238741828941334e-07
1169,multiprocessing,5,66700000,2.9059739112854004,3.060897121162773,4.3567824756902554e-08
1170,threading,6,66700000,48.766762495040894,3.060852889801842,7.311358694908679e-07
1171,multiprocessing,6,66700000,2.427640676498413,3.060847924461903,3.639641194150544e-08
1172,threading,7,66700000,48.3336386680603,3.060817021400211,7.246422588914588e-07
1173,multiprocessing,7,66700000,2.0937936305999756,3.0609067609449045,3.139120885457235e-08
1174,threading,8,66700000,48.53501629829407,3.0607590370770197,7.276614137675273e-07
1175,multiprocessing,8,66700000,1.8397057056427002,3.0605942645213036,2.7581794687296856e-08
1176,threading,9,66700000,48.56325054168701,3.0609054320058107,7.280847157674215e-07
1177,multiprocessing,9,66700000,1.642643690109253,3.0608954066670604,2.4627341680798396e-08
1178,threading,10,66700000,48.787880182266235,3.0606044731010997,7.314524764957457e-07
1179,multiprocessing,10,66700000,1.5095398426055908,3.0608538932007647,2.263178174820976e-08
1180,threading,11,66700000,49.05402946472168,3.060747341568848,7.354427206105199e-07
1181,multiprocessing,11,66700000,1.4020600318908691,3.0607175220706817,2.1020390283221425e-08
1182,threading,12,66700000,48.78866982460022,3.060798771394165,7.314643152113976e-07
1183,multiprocessing,12,66700000,1.2677686214447021,3.0607972038865814,1.900702580876615e-08
1184,threading,13,66700000,48.349109411239624,3.060787160164371,7.248742040665611e-07
1185,multiprocessing,13,66700000,1.221975564956665,3.0608502762747842,1.832047323773111e-08
1186,threading,14,66700000,47.721595287323,3.060708805701206,7.154661962117391e-07
1187,multiprocessing,14,66700000,1.1464080810546875,3.060675939421754,1.7187527452094266e-08
1188,threading,15,66700000,49.73560953140259,3.0606081745344023,7.456613123148814e-07
1189,multiprocessing,15,66700000,1.0635089874267578,3.060549714796481,1.5944662480161285e-08
1190,threading,16,66700000,49.72274160385132,3.0608202760259493,7.454683898628384e-07
1191,multiprocessing,16,66700000,1.0305559635162354,3.06086802550085,1.5450614145670695e-08
1192,threading,17,66700000,50.04249382019043,3.0609588975250364,7.502622761647741e-07
1193,multiprocessing,17,66700000,0.9730367660522461,3.060848465611354,1.458825736210264e-08
1194,threading,18,66700000,49.60330319404602,3.060517661223315,7.436777090561622e-07
1195,multiprocessing,18,66700000,1.0084269046783447,3.060697337072813,1.511884414810112e-08
1196,threading,19,66700000,49.54388999938965,3.0608389515822605,7.427869565125885e-07
1197,multiprocessing,19,66700000,1.3550069332122803,3.0606913412254153,2.0314946524921742e-08
1198,threading,20,66700000,49.45875906944275,3.0608053210849797,7.415106307262781e-07
1199,multiprocessing,20,66700000,1.3187334537506104,3.061101292664088,1.977111624813509e-08
1200,threading,21,66700000,49.653844118118286,3.0606079872607936,7.444354440497494e-07
1201,multiprocessing,21,66700000,1.3076951503753662,3.0608403465656835,1.9605624443408787e-08
1202,threading,22,66700000,49.548572301864624,3.060737463656735,7.428571559499944e-07
1203,multiprocessing,22,66700000,1.4032127857208252,3.0607593120839187,2.103767294933771e-08
1204,threading,23,66700000,49.39645791053772,3.0608047842320207,7.405765803678819e-07
1205,multiprocessing,23,66700000,1.3710122108459473,3.0605756224368124,2.0554905709834293e-08
1206,threading,24,66700000,49.511109352111816,3.0607797012435953,7.422954925354096e-07
1207,multiprocessing,24,66700000,1.3119118213653564,3.0609241783543752,1.9668842899030832e-08
1208,threading,25,66700000,49.23569130897522,3.0607479537351594,7.381662864913826e-07
1209,multiprocessing,25,66700000,1.24959397315979,3.0608723929348067,1.8734542326233735e-08
1210,threading,26,66700000,49.16976451873779,3.0606420047015397,7.37177878841646e-07
1211,multiprocessing,26,66700000,1.2326006889343262,3.060656175299617,1.8479770448790498e-08
1212,threading,27,66700000,49.10773968696594,3.06059685270822,7.362479713188298e-07
